' Device: 0018; Hardware: v03.07.02; Firmware: v03.07.02; Ain: 3.300V F.S. x1 Gain
' Test ID: 0
' Run Started: 14/05(May)/2028 14:12:20
' Scan Freq (Hz): 250
' Log Time (sec): 30; Delay Time (sec): 10; Clock Adj.: 1.000000
' 
' Time,DateTime,Scan,Trigger,Trigger,GPIO1,GPIO1,X1-X,X1-Y,X1-Z,X2-X,X2-Y,X2-Z,G2-X,G2-Y,G2-Z,Ain
' (Sec),(Serial),Number,(State),(Edge),(State),(Edge),(g),(g),(g),(g),(g),(g),(°/sec),(°/sec),(°/sec),(ADc)
0.0040,46887.5920140509,1,0,0,0,0,0.05,0.05,-0.73,0.01,0.00,-1.01,0.0,-2.2,-0.3,-40
0.0080,46887.5920140972,2,0,0,0,0,0.00,0.00,-0.73,0.00,-0.01,-1.01,0.4,-2.3,-1.0,-40
0.0120,46887.5920141435,3,0,0,0,0,0.05,0.00,-0.88,0.00,-0.01,-1.01,-0.4,-2.7,-0.8,-39
0.0160,46887.5920141898,4,0,0,0,0,0.05,-0.05,-0.83,0.01,0.00,-1.02,0.3,-2.3,-0.4,-38
0.0200,46887.5920142361,5,0,0,0,0,0.00,-0.05,-0.83,0.01,-0.01,-1.02,-0.4,-2.3,-0.6,-38
0.0240,46887.5920142824,6,0,0,0,0,-0.05,0.00,-0.73,0.02,0.00,-1.01,-0.1,-2.8,-0.7,-37
0.0280,46887.5920143287,7,0,0,0,0,-0.05,-0.10,-0.73,0.01,0.00,-1.01,0.4,-2.1,-0.1,-37
0.0320,46887.592014375,8,0,0,0,0,0.00,-0.10,-0.73,0.01,-0.01,-1.01,0.0,-2.3,0.2,-36
0.0360,46887.5920144213,9,0,0,0,0,-0.05,0.00,-0.78,0.01,-0.01,-1.01,-0.2,-2.2,-0.2,-36
0.0400,46887.5920144676,10,0,0,0,0,-0.05,-0.15,-0.78,0.01,0.00,-1.01,-0.2,-1.4,-0.4,-35
0.0440,46887.5920145139,11,0,0,0,0,0.00,0.00,-0.78,0.00,0.00,-1.00,0.5,-2.0,0.0,-35
0.0480,46887.5920145602,12,0,0,0,0,0.05,-0.05,-0.73,0.02,0.01,-1.00,0.0,-2.2,0.2,-34
0.0520,46887.5920146065,13,0,0,0,0,0.00,-0.10,-0.78,0.02,0.00,-1.01,0.4,-2.1,-0.2,-34
0.0560,46887.5920146528,14,0,0,0,0,0.00,0.00,-0.78,0.01,0.00,-1.01,0.1,-2.0,-0.6,-33
0.0600,46887.5920146991,15,0,0,0,0,0.05,0.00,-0.73,0.01,0.00,-1.01,-0.1,-1.9,-0.7,-33
0.0640,46887.5920147454,16,0,0,0,0,0.00,0.05,-0.78,0.01,-0.01,-1.00,0.2,-2.0,-0.7,-32
0.0680,46887.5920147917,17,0,0,0,0,-0.05,0.00,-0.83,0.01,-0.01,-1.01,-0.2,-2.1,-0.3,-32
0.0720,46887.592014838,18,0,0,0,0,0.00,-0.05,-0.78,0.00,-0.01,-1.01,0.2,-2.2,-0.2,-31
0.0760,46887.5920148842,19,0,0,0,0,-0.05,-0.10,-0.83,0.00,-0.01,-1.01,0.5,-2.3,-0.4,-31
0.0800,46887.5920149305,20,0,0,0,0,0.00,0.00,-0.78,0.00,-0.01,-1.00,0.0,-2.2,0.0,-30
0.0840,46887.5920149768,21,0,0,0,0,0.00,-0.10,-0.88,0.01,-0.01,-1.01,-0.3,-2.1,0.2,-30
0.0880,46887.5920150231,22,0,0,0,0,0.00,-0.05,-0.73,-0.01,-0.02,-1.01,0.1,-2.1,0.3,-30
0.0920,46887.5920150694,23,0,0,0,0,0.00,-0.05,-0.88,0.00,0.00,-1.01,0.4,-2.0,0.2,-29
0.0960,46887.5920151157,24,0,0,0,0,0.05,-0.05,-0.78,0.01,-0.01,-1.02,-0.2,-2.2,0.1,-29
0.1000,46887.592015162,25,0,0,0,0,0.05,0.00,-0.83,0.01,0.00,-1.02,0.8,-1.8,-0.4,-28
0.1040,46887.5920152083,26,0,0,0,0,0.00,-0.05,-0.78,0.01,0.00,-1.02,0.1,-1.9,-0.4,-28
0.1080,46887.5920152546,27,0,0,0,0,0.05,0.05,-0.78,0.01,-0.01,-1.02,0.4,-1.4,-0.7,-28
0.1120,46887.5920153009,28,0,0,0,0,0.00,0.05,-0.83,0.02,0.00,-1.02,-0.4,-1.9,-0.5,-27
0.1160,46887.5920153472,29,0,0,0,0,0.00,-0.05,-0.78,0.01,0.00,-1.01,-0.1,-1.8,-0.6,-27
0.1200,46887.5920153935,30,0,0,0,0,-0.05,-0.10,-0.83,0.01,-0.01,-1.01,0.5,-1.2,-0.8,-26
0.1240,46887.5920154398,31,0,0,0,0,0.05,-0.05,-0.83,0.00,-0.01,-1.00,0.4,-1.7,-0.3,-26
0.1280,46887.5920154861,32,0,0,0,0,0.00,-0.05,-0.78,0.02,-0.01,-1.01,0.4,-2.0,-0.9,-26
0.1320,46887.5920155324,33,0,0,0,0,-0.05,0.00,-0.78,0.01,0.00,-1.02,0.5,-1.5,-0.3,-25
0.1360,46887.5920155787,34,0,0,0,0,0.00,-0.05,-0.78,0.01,-0.01,-1.00,0.4,-1.5,-1.0,-25
0.1400,46887.592015625,35,0,0,0,0,-0.05,-0.10,-0.83,0.00,-0.01,-1.01,0.7,-1.8,-0.6,-24
0.1440,46887.5920156713,36,0,0,0,0,0.00,0.00,-0.73,0.00,-0.01,-1.01,0.8,-2.1,-1.0,-24
0.1480,46887.5920157176,37,0,0,0,0,0.00,-0.05,-0.83,0.01,-0.02,-1.01,0.7,-2.1,-1.1,-24
0.1520,46887.5920157639,38,0,0,0,0,0.00,-0.10,-0.83,0.00,-0.01,-1.01,0.4,-2.0,-0.4,-23
0.1560,46887.5920158102,39,0,0,0,0,0.05,-0.05,-0.78,0.00,0.00,-1.01,0.3,-1.9,-0.7,-23
0.1600,46887.5920158565,40,0,0,0,0,0.00,0.00,-0.78,0.00,-0.01,-1.00,0.1,-2.0,-0.8,-23
0.1640,46887.5920159028,41,0,0,0,0,-0.05,0.00,-0.83,0.01,-0.02,-1.01,0.6,-2.2,-0.6,-22
0.1680,46887.5920159491,42,0,0,0,0,0.00,0.00,-0.83,0.01,-0.01,-1.01,0.5,-2.3,-0.7,-22
0.1720,46887.5920159954,43,0,0,0,0,0.00,0.00,-0.83,0.00,0.00,-1.01,0.5,-2.4,-0.5,-22
0.1760,46887.5920160417,44,0,0,0,0,0.00,-0.05,-0.88,0.01,0.01,-1.02,0.3,-1.6,-0.3,-21
0.1800,46887.592016088,45,0,0,0,0,0.00,-0.10,-0.83,0.01,-0.01,-1.01,0.0,-2.0,-0.9,-21
0.1840,46887.5920161343,46,0,0,0,0,0.00,-0.05,-0.73,0.01,0.00,-1.02,0.0,-1.5,-0.4,-21
0.1880,46887.5920161805,47,0,0,0,0,-0.05,-0.05,-0.73,0.02,-0.01,-1.02,0.7,-1.6,-0.9,-21
0.1920,46887.5920162268,48,0,0,0,0,0.10,0.00,-0.78,0.01,0.01,-1.00,0.0,-1.3,-0.5,-20
0.1960,46887.5920162731,49,0,0,0,0,0.05,-0.05,-0.83,0.01,0.00,-1.01,0.7,-1.7,-1.0,-20
0.2000,46887.5920163194,50,0,0,0,0,0.05,0.00,-0.78,0.01,-0.01,-1.02,-0.1,-1.3,-0.3,-20
0.2040,46887.5920163657,51,0,0,0,0,-0.05,-0.05,-0.83,0.01,-0.01,-1.02,0.5,-1.3,-0.2,-19
0.2080,46887.592016412,52,0,0,0,0,0.00,0.05,-0.83,0.01,-0.01,-1.01,0.1,-1.6,-0.5,-19
0.2120,46887.5920164583,53,0,0,0,0,0.00,-0.05,-0.88,0.00,0.00,-1.01,0.2,-1.4,-1.1,-19
0.2160,46887.5920165046,54,0,0,0,0,0.05,0.00,-0.83,0.01,-0.01,-1.00,0.3,-1.9,-0.7,-19
0.2200,46887.5920165509,55,0,0,0,0,-0.10,-0.05,-0.78,0.00,-0.01,-1.02,0.7,-1.2,-0.8,-18
0.2240,46887.5920165972,56,0,0,0,0,0.00,-0.05,-0.88,0.01,-0.01,-1.02,-0.1,-1.6,0.0,-18
0.2280,46887.5920166435,57,0,0,0,0,0.05,-0.05,-0.78,0.00,-0.01,-1.01,-0.2,-1.1,-0.3,-18
0.2320,46887.5920166898,58,0,0,0,0,0.00,-0.10,-0.73,0.00,0.00,-1.01,0.4,-1.8,-0.5,-17
0.2360,46887.5920167361,59,0,0,0,0,0.00,-0.05,-0.93,0.01,0.00,-1.01,0.8,-1.6,-1.1,-17
0.2400,46887.5920167824,60,0,0,0,0,-0.05,-0.05,-0.73,0.01,0.00,-1.01,0.1,-2.0,-0.7,-17
0.2440,46887.5920168287,61,0,0,0,0,0.00,-0.05,-0.83,0.01,0.01,-1.01,0.5,-2.0,-0.9,-17
0.2480,46887.592016875,62,0,0,0,0,0.00,0.05,-0.83,0.01,0.00,-1.01,1.0,-1.2,-0.8,-17
0.2520,46887.5920169213,63,0,0,0,0,0.05,-0.10,-0.78,0.02,-0.01,-1.01,0.4,-1.7,-0.6,-16
0.2560,46887.5920169676,64,0,0,0,0,0.00,-0.05,-0.78,0.01,0.00,-1.01,0.8,-1.5,-0.8,-16
0.2600,46887.5920170139,65,0,0,0,0,0.00,0.00,-0.83,0.01,-0.01,-1.02,-0.2,-1.9,-0.8,-16
0.2640,46887.5920170602,66,0,0,0,0,0.05,0.00,-0.78,0.01,0.00,-1.02,0.5,-1.8,-0.9,-16
0.2680,46887.5920171065,67,0,0,0,0,0.05,-0.05,-0.78,0.02,-0.01,-1.01,0.4,-2.0,-0.3,-15
0.2720,46887.5920171528,68,0,0,0,0,-0.05,-0.05,-0.78,0.01,0.00,-1.00,0.1,-1.9,-0.9,-15
0.2760,46887.5920171991,69,0,0,0,0,0.00,0.00,-0.78,0.01,-0.01,-1.01,0.2,-1.1,-0.3,-15
0.2800,46887.5920172454,70,0,0,0,0,-0.05,-0.05,-0.83,0.01,0.00,-1.02,0.7,-1.9,-0.6,-15
0.2840,46887.5920172917,71,0,0,0,0,-0.05,-0.05,-0.78,0.01,-0.01,-1.01,0.2,-1.8,-0.8,-15
0.2880,46887.592017338,72,0,0,0,0,0.00,0.00,-0.73,0.01,-0.01,-1.01,0.4,-1.4,-1.1,-14
0.2920,46887.5920173843,73,0,0,0,0,0.05,-0.10,-0.83,0.01,-0.01,-1.01,0.6,-1.5,-0.7,-14
0.2960,46887.5920174306,74,0,0,0,0,0.00,-0.05,-0.78,0.01,0.00,-1.02,-0.2,-1.8,-0.3,-14
0.3000,46887.5920174768,75,0,0,0,0,0.10,-0.10,-0.83,0.01,-0.01,-1.01,-0.2,-1.5,-0.6,-14
0.3040,46887.5920175231,76,0,0,0,0,0.00,-0.05,-0.78,0.00,-0.01,-1.01,0.6,-1.8,-0.3,-14
0.3080,46887.5920175694,77,0,0,0,0,0.00,-0.05,-0.88,0.01,-0.01,-1.02,0.4,-1.5,-0.2,-13
0.3120,46887.5920176157,78,0,0,0,0,-0.05,0.05,-0.73,0.01,0.00,-1.02,0.4,-1.7,-1.0,-13
0.3160,46887.592017662,79,0,0,0,0,-0.05,-0.10,-0.73,0.01,-0.01,-1.01,0.1,-2.2,-0.8,-13
0.3200,46887.5920177083,80,0,0,0,0,-0.05,-0.05,-0.73,0.01,0.00,-1.01,-0.4,-1.7,-1.1,-13
0.3240,46887.5920177546,81,0,0,0,0,0.00,-0.10,-0.78,0.02,0.00,-1.02,-0.2,-1.8,0.0,-13
0.3280,46887.5920178009,82,0,0,0,0,0.00,-0.05,-0.73,0.02,0.00,-1.01,0.6,-1.5,-0.1,-12
0.3320,46887.5920178472,83,0,0,0,0,0.00,-0.05,-0.78,0.02,0.00,-1.01,0.4,-1.6,-0.7,-12
0.3360,46887.5920178935,84,0,0,0,0,-0.05,-0.05,-0.78,0.01,0.00,-1.01,0.7,-1.6,-0.3,-12
0.3400,46887.5920179398,85,0,0,0,0,0.00,0.00,-0.78,0.01,-0.01,-1.02,-0.1,-1.6,-1.0,-12
0.3440,46887.5920179861,86,0,0,0,0,0.00,0.05,-0.78,0.01,-0.01,-1.01,0.3,-1.4,-0.2,-12
0.3480,46887.5920180324,87,0,0,0,0,0.00,-0.05,-0.78,0.02,-0.01,-1.01,0.3,-1.1,-0.9,-12
0.3520,46887.5920180787,88,0,0,0,0,-0.05,-0.05,-0.83,0.00,-0.01,-1.01,0.2,-2.0,0.1,-11
0.3560,46887.592018125,89,0,0,0,0,0.00,0.00,-0.73,0.01,-0.01,-1.02,0.6,-1.4,-0.3,-11
0.3600,46887.5920181713,90,0,0,0,0,0.05,0.00,-0.78,0.01,0.00,-1.01,-0.2,-1.4,-0.8,-11
0.3640,46887.5920182176,91,0,0,0,0,0.05,-0.05,-0.73,0.00,-0.01,-1.01,-0.1,-1.7,-0.6,-11
0.3680,46887.5920182639,92,0,0,0,0,0.05,-0.05,-0.83,0.00,-0.01,-1.03,-0.1,-1.8,-0.6,-11
0.3720,46887.5920183102,93,0,0,0,0,-0.05,-0.05,-0.78,0.01,-0.01,-1.00,0.3,-2.2,-0.5,-11
0.3760,46887.5920183565,94,0,0,0,0,0.00,-0.10,-0.83,0.00,-0.01,-1.01,0.2,-2.2,-0.1,-11
0.3800,46887.5920184028,95,0,0,0,0,0.00,0.00,-0.78,0.00,0.00,-1.02,-0.2,-2.1,-0.5,-11
0.3840,46887.5920184491,96,0,0,0,0,-0.05,-0.10,-0.83,0.00,-0.01,-1.01,-0.8,-2.0,-0.4,-10
0.3880,46887.5920184954,97,0,0,0,0,0.00,-0.05,-0.78,0.01,0.00,-1.01,-0.2,-1.8,0.2,-10
0.3920,46887.5920185417,98,0,0,0,0,-0.05,-0.05,-0.83,0.01,0.00,-1.01,-0.2,-2.4,0.1,-10
0.3960,46887.592018588,99,0,0,0,0,0.10,0.00,-0.78,0.02,0.00,-1.01,-0.7,-2.2,-0.2,-10
0.4000,46887.5920186342,100,0,0,0,0,0.00,-0.10,-0.83,0.01,0.00,-1.00,0.0,-2.5,0.0,-10
0.4040,46887.5920186805,101,0,0,0,0,-0.05,0.00,-0.83,0.01,-0.01,-1.00,-1.1,-2.3,0.6,-10
0.4080,46887.5920187268,102,0,0,0,0,0.00,-0.10,-0.88,0.01,0.00,-1.01,-0.3,-2.5,1.6,-10
0.4120,46887.5920187731,103,0,0,0,0,0.00,-0.05,-0.83,0.01,0.00,-1.00,0.0,-2.2,1.5,-9
0.4160,46887.5920188194,104,0,0,0,0,0.05,0.00,-0.83,0.00,0.00,-1.01,0.0,-2.0,1.3,-9
0.4200,46887.5920188657,105,0,0,0,0,0.05,-0.05,-0.78,0.01,-0.01,-1.01,-0.5,-1.5,0.7,-9
0.4240,46887.592018912,106,0,0,0,0,0.00,-0.05,-0.78,0.01,0.00,-1.00,-0.4,-1.3,0.6,-9
0.4280,46887.5920189583,107,0,0,0,0,-0.05,-0.05,-0.78,0.00,0.00,-1.01,-0.1,-1.5,0.7,-9
0.4320,46887.5920190046,108,0,0,0,0,0.00,0.00,-0.88,0.00,-0.01,-1.01,-0.3,-1.5,0.9,-9
0.4360,46887.5920190509,109,0,0,0,0,0.00,-0.05,-0.78,-0.01,-0.01,-1.00,0.6,-1.1,1.8,-9
0.4400,46887.5920190972,110,0,0,0,0,0.00,0.00,-0.78,-0.02,-0.03,-1.01,0.4,-0.8,3.6,-9
0.4440,46887.5920191435,111,0,0,0,0,0.05,0.00,-0.88,-0.02,-0.06,-1.00,1.4,-1.6,2.7,-8
0.4480,46887.5920191898,112,0,0,0,0,0.00,0.00,-0.78,0.02,0.01,-1.02,1.4,-1.4,1.9,-8
0.4520,46887.5920192361,113,0,0,0,0,0.00,-0.05,-0.83,0.00,0.00,-1.01,1.1,-0.5,-0.3,-8
0.4560,46887.5920192824,114,0,0,0,0,0.05,0.00,-0.73,-0.01,-0.03,-1.02,1.3,-0.4,-0.2,-8
0.4600,46887.5920193287,115,0,0,0,0,0.00,-0.15,-0.73,0.00,-0.01,-1.01,1.2,-0.2,-0.2,-8
0.4640,46887.592019375,116,0,0,0,0,0.00,-0.05,-0.83,0.01,-0.01,-1.01,2.0,-0.4,0.2,-8
0.4680,46887.5920194213,117,0,0,0,0,0.00,0.05,-0.83,0.00,-0.03,-1.01,1.6,-0.1,0.2,-8
0.4720,46887.5920194676,118,0,0,0,0,0.00,0.00,-0.83,0.00,-0.01,-1.01,1.7,0.5,0.2,-8
0.4760,46887.5920195139,119,0,0,0,0,0.05,0.05,-0.78,0.00,-0.01,-1.02,2.0,0.2,0.1,-8
0.4800,46887.5920195602,120,0,0,0,0,0.00,0.05,-0.78,-0.01,-0.01,-1.01,1.6,0.5,-0.1,-8
0.4840,46887.5920196065,121,0,0,0,0,-0.05,-0.05,-0.78,0.00,-0.01,-1.01,2.2,0.7,-0.9,-8
0.4880,46887.5920196528,122,0,0,0,0,0.00,0.00,-0.78,0.00,0.00,-1.00,1.5,0.3,-0.8,-8
0.4920,46887.5920196991,123,0,0,0,0,0.00,-0.05,-0.68,-0.01,0.00,-1.02,1.5,0.0,0.2,-7
0.4960,46887.5920197454,124,0,0,0,0,0.00,0.00,-0.73,0.00,-0.02,-0.99,1.8,0.2,-0.5,-7
0.5000,46887.5920197917,125,0,0,0,0,0.05,0.00,-0.73,0.19,-0.01,-0.88,3.5,0.4,-1.7,-7
0.5040,46887.592019838,126,0,0,0,0,-0.05,-0.15,-0.78,-0.01,-0.09,-1.07,9.3,3.4,-2.4,-7
0.5080,46887.5920198843,127,0,0,0,0,0.00,0.00,-0.83,0.01,0.03,-1.04,4.2,3.3,-2.8,-7
0.5120,46887.5920199305,128,0,0,0,0,-0.05,-0.10,-0.78,-0.08,-0.03,-0.99,4.7,3.0,0.7,-7
0.5160,46887.5920199768,129,0,0,0,0,-0.05,-0.05,-0.73,-0.17,-0.04,-1.00,4.3,2.7,2.3,-7
0.5200,46887.5920200231,130,0,0,0,0,-0.54,-0.29,-0.83,0.40,-0.06,-1.41,10.2,1.9,74.9,-7
