' Device: 0018; Hardware: v03.07.02; Firmware: v03.07.02,,,,,,,,,,,
' Test ID: 0,,,,,,,,,,,
' Run Started: 11/06(Jun)/2022 18:13:26,,,,,,,,,,,
' Scan Freq (Hz): 2000,,,,,,,,,,,
' Log Time (sec): 60; Delay Time (sec): 30; Clock Adj.: 1.000000,,,,,,,,,,,
' ,,,,,,,,,,,
' Time,DateTime,Scan,X1-X,X1-Y,X1-Z,X2-X,X2-Y,X2-Z,G2-X,G2-Y,G2-Z
' (Sec),(Serial),Number,(g),(g),(g),(g),(g),(g),(°/sec),(°/sec),(°/sec)
0.0005,44723.75968,1,-0.93,-0.15,-0.1,-1,0,0.02,1.1,2.4,0.2
0.001,44723.75968,2,-1.02,0.15,-0.2,-1,0,0.04,0.2,2.7,1
0.0015,44723.75968,3,-1.12,-0.05,0.1,-1,0,0.02,-3.2,-2.3,0.1
0.002,44723.75968,4,-0.83,-0.24,0.1,-1.01,0,0.04,1.3,-1,-2.6
0.0025,44723.75968,5,-1.22,-0.15,0,-1.01,0.01,0.04,-0.7,0.7,-1.6
0.003,44723.75968,6,-1.02,-0.05,0,-1,0.02,0.03,2.4,1.2,-1.2
0.0035,44723.75968,7,-0.83,0.05,-0.1,-1.01,0.01,0.03,1.3,-2.7,0
0.004,44723.75968,8,-0.93,0.15,0,-1,0,0.02,-1.8,0.1,-0.7
0.0045,44723.75968,9,-1.12,0.15,-0.2,-1,-0.01,0.05,-0.6,0.4,-0.4
0.005,44723.75968,10,-0.93,0.24,0.1,-1,0.01,0.05,-0.5,1.5,1
0.0055,44723.75968,11,-0.73,0.24,-0.1,-1.01,-0.01,0.03,-0.1,-0.1,0.6
0.006,44723.75968,12,-1.02,0.15,0,-1.01,0,0.02,0.4,4,-0.9
0.0065,44723.75968,13,-0.93,0.34,-0.1,-1.01,0,0.04,0.6,-1.7,-0.2
0.007,44723.75968,14,-0.93,0.15,0,-1,-0.01,0.03,-1.2,-1,-0.2
0.0075,44723.75968,15,-0.73,0.05,0.29,-0.99,0,0.04,-0.2,-0.7,-0.4
0.008,44723.75968,16,-0.93,-0.05,-0.1,-1.01,-0.01,0.01,1.2,-1.6,0.5
0.0085,44723.75968,17,-0.83,0.15,0,-1.01,0.01,0.03,-0.1,1.3,-2.1
0.009,44723.75968,18,-1.02,0.05,-0.29,-1.01,0,0.04,0.2,0.1,-2.6
0.0095,44723.75968,19,-1.02,-0.05,-0.1,-1.01,0,0.04,0.6,-0.5,0
0.01,44723.75968,20,-1.02,0.15,0.1,-1,0,0.04,-2.2,-0.5,-3
0.0105,44723.75968,21,-0.73,0.05,0.2,-1.01,0,0.02,-1.2,-0.2,-1.8
0.011,44723.75968,22,-1.02,0.15,0.2,-0.99,-0.02,0.03,0.6,3,1.3
0.0115,44723.75968,23,-1.02,-0.15,0,-0.99,0,0.03,-2.1,0.7,0.5
0.012,44723.75968,24,-1.02,0.05,0,-1.01,0.01,0.02,1,2.3,2.2
0.0125,44723.75968,25,-1.22,-0.24,-0.1,-1.01,0,0.01,0.9,-1.1,-0.7
0.013,44723.75968,26,-1.02,0.15,0.39,-1,0.01,0.04,-0.6,-0.4,-0.6
0.0135,44723.75968,27,-1.02,-0.05,-0.2,-1,0.01,0.02,-1.1,1.3,-0.9
0.014,44723.75968,28,-0.83,-0.05,-0.2,-1,0.01,0.05,-0.7,-1.8,3.3
0.0145,44723.75968,29,-0.93,0.15,-0.1,-1.01,-0.02,0.02,1.7,0,-2.3
0.015,44723.75968,30,-0.93,-0.24,0.29,-1.02,-0.01,0.02,0.4,0.2,-1.5
