' Device: 0018; Hardware: v03.07.02; Firmware: v03.07.02; Ain: 3.300V F.S. x1 Gain
' Test ID: 0
' Run Started: 30/11(Nov)/1999 00:12:20
' Scan Freq (Hz): 250
' Log Time (sec): 24; Delay Time (sec): 10; Clock Adj.: 1.000000
' 
' Time,DateTime,Scan,Trigger,Trigger,GPIO1,GPIO1,X1-X,X1-Y,X1-Z,X2-X,X2-Y,X2-Z,G2-X,G2-Y,G2-Z,Ain
' (Sec),(Serial),Number,(State),(Edge),(State),(Edge),(g),(g),(g),(g),(g),(g),(°/sec),(°/sec),(°/sec),(ADc)
0.0040,36494.0086807176,1,0,0,0,0,0.00,0.54,0.00,0.03,-0.01,-1.08,0.4,-11.1,12.0,18
0.0080,36494.0086807639,2,0,0,0,0,-0.15,0.59,-0.20,0.06,0.86,0.05,-12.2,1.3,11.8,22
0.0120,36494.0086808102,3,0,0,0,0,-0.15,0.73,0.10,0.08,-0.01,-1.00,0.4,0.3,10.7,0
0.0160,36494.0086808565,4,0,0,0,0,-0.15,0.73,-0.05,0.07,1.06,-1.10,0.3,0.5,15.2,0
0.0200,36494.0086809028,5,0,0,0,0,-0.10,0.54,-0.05,0.09,-0.01,-1.06,0.4,0.3,18.7,1
0.0240,36494.0086809491,6,0,0,0,0,-0.15,0.73,-0.29,0.10,-0.01,0.01,0.9,4.2,22.2,4
0.0280,36494.0086809954,7,0,0,0,0,-0.05,0.73,-0.24,0.13,-0.01,0.02,-0.1,8.1,21.6,2
0.0320,36494.0086810417,8,0,0,0,0,-0.05,0.78,-0.29,0.13,-0.01,0.04,0.1,10.5,22.5,16
0.0360,36494.008681088,9,0,0,0,0,-0.10,0.73,-0.29,0.13,-0.01,0.04,0.1,10.1,22.6,3
0.0400,36494.0086811343,10,0,0,0,0,-0.05,0.59,-0.05,0.16,-0.01,0.04,-0.1,8.1,24.0,1
0.0440,36494.0086811806,11,0,0,0,0,0.00,0.73,-0.29,0.15,-0.01,0.06,0.4,8.2,25.1,0
0.0480,36494.0086812268,12,0,0,0,0,-0.10,0.78,-0.24,0.10,-0.01,0.04,1.0,8.2,28.4,18
0.0520,36494.0086812731,13,0,0,0,0,-0.15,0.73,-0.10,0.27,-0.01,0.07,1.0,18.1,1.3,16
0.0560,36494.0086813194,14,0,0,0,0,-0.05,0.73,-0.10,0.00,0.92,0.11,-0.1,16.1,10.2,0
0.0600,36494.0086813657,15,0,0,0,0,-0.05,0.59,-0.24,0.19,-0.01,0.05,0.4,10.8,2.3,2
0.0640,36494.008681412,16,0,0,0,0,0.05,0.54,-0.24,0.15,0.96,0.09,0.6,12.0,0.9,17
0.0680,36494.0086814583,17,0,0,0,0,0.00,0.73,-0.24,0.23,-0.01,0.11,1.0,9.8,0.4,16
0.0720,36494.0086815046,18,0,0,0,0,-0.05,0.59,-0.20,0.22,-0.01,0.10,0.9,8.2,0.1,16
0.0760,36494.0086815509,19,0,0,0,0,-0.15,0.73,-0.24,0.19,1.01,0.11,0.2,8.2,0.2,1
0.0800,36494.0086815972,20,0,0,0,0,-0.05,0.54,-0.24,0.18,1.01,0.10,0.8,5.2,0.1,0
0.0840,36494.0086816435,21,0,0,0,0,0.00,0.54,-0.29,0.19,1.03,0.10,-0.1,4.2,2.0,16
