' Device: 0018; Hardware: v03.07.02; Firmware: v03.07.02; Ain: 3.300V F.S. x1 Gain
' Test ID: 0
' Run Started: 17/11(Nov)/2022 09:41:49
' Scan Freq (Hz): 250
' Log Time (sec): 120; Delay Time (sec): 10; Clock Adj.: 1.000000
' 
' Time,DateTime,Scan,X1-X,X1-Y,X1-Z,X2-X,X2-Y,X2-Z,G2-X,G2-Y,G2-Z,Ain
' (Sec),(Serial),Number,(g),(g),(g),(g),(g),(g),(°/sec),(°/sec),(°/sec),(ADc)
0.0040,44882.4041551736,1,-0.44,-0.15,-0.54,-0.53,-0.16,-0.85,0.5,-2.4,1.7,-8
0.0080,44882.4041552199,2,-0.39,-0.20,-0.54,-0.54,-0.15,-0.85,-0.1,-2.3,1.5,-7
0.0120,44882.4041552662,3,-0.44,-0.24,-0.59,-0.54,-0.16,-0.85,0.5,-1.4,1.1,-7
0.0160,44882.4041553125,4,-0.39,-0.15,-0.54,-0.53,-0.15,-0.85,0.2,-1.2,1.0,-7
0.0200,44882.4041553588,5,-0.44,-0.15,-0.59,-0.54,-0.16,-0.85,0.5,-0.3,1.3,-7
0.0240,44882.4041554051,6,-0.44,-0.15,-0.49,-0.53,-0.15,-0.85,0.5,-0.2,1.2,-7
0.0280,44882.4041554514,7,-0.34,-0.15,-0.63,-0.54,-0.14,-0.85,-0.4,-0.6,1.2,-7
0.0320,44882.4041554977,8,-0.49,-0.20,-0.59,-0.53,-0.15,-0.85,-0.5,0.0,1.3,-7
0.0360,44882.404155544,9,-0.49,-0.24,-0.54,-0.53,-0.16,-0.85,-0.4,-0.3,1.4,-7
0.0400,44882.4041555903,10,-0.39,-0.15,-0.59,-0.54,-0.15,-0.85,-0.8,-0.9,1.4,-7
0.0440,44882.4041556366,11,-0.34,-0.15,-0.59,-0.54,-0.14,-0.85,-0.6,-1.0,1.3,-7
0.0480,44882.4041556829,12,-0.39,-0.24,-0.54,-0.54,-0.15,-0.86,-0.5,-0.8,1.4,-7
0.0520,44882.4041557292,13,-0.49,-0.24,-0.54,-0.54,-0.15,-0.82,-0.3,-0.5,0.6,-6
0.0560,44882.4041557755,14,-0.44,-0.20,-0.59,-0.53,-0.15,-0.82,1.4,0.2,-0.6,-6
0.0600,44882.4041558218,15,-0.39,-0.20,-0.49,-0.54,-0.16,-0.83,2.4,0.5,-0.3,-6
0.0640,44882.4041558681,16,-0.44,-0.20,-0.54,-0.53,-0.16,-0.85,2.5,0.3,-0.9,-6
0.0680,44882.4041559144,17,-0.44,-0.20,-0.68,-0.53,-0.17,-0.86,1.9,-0.4,-0.4,-6
0.0720,44882.4041559606,18,-0.39,-0.20,-0.49,-0.53,-0.16,-0.85,0.8,-0.7,-0.5,-6
0.0760,44882.4041560069,19,-0.34,-0.20,-0.63,-0.54,-0.16,-0.86,0.4,-0.9,-0.2,-6
0.0800,44882.4041560532,20,-0.44,-0.15,-0.63,-0.53,-0.14,-0.85,0.5,-1.0,0.1,-6
0.0840,44882.4041560995,21,-0.39,-0.15,-0.59,-0.54,-0.14,-0.86,0.7,-0.9,0.0,-6
0.0880,44882.4041561458,22,-0.39,-0.05,-0.54,-0.55,-0.13,-0.87,0.5,-0.6,0.4,-6
0.0920,44882.4041561921,23,-0.44,-0.15,-0.59,-0.54,-0.13,-0.88,0.7,-1.1,0.5,-6
0.0960,44882.4041562384,24,-0.39,-0.10,-0.59,-0.55,-0.14,-0.86,0.4,-0.1,0.9,-6
0.1000,44882.4041562847,25,-0.44,-0.10,-0.63,-0.55,-0.13,-0.87,-0.2,0.6,0.4,-6
0.1040,44882.404156331,26,-0.44,-0.15,-0.49,-0.53,-0.15,-0.86,0.0,2.4,-0.3,-5
0.1080,44882.4041563773,27,-0.39,-0.15,-0.54,-0.53,-0.14,-0.85,-0.2,2.7,0.2,-5
0.1120,44882.4041564236,28,-0.44,-0.15,-0.54,-0.55,-0.16,-0.86,-0.1,0.2,-0.4,-5
0.1160,44882.4041564699,29,-0.44,-0.20,-0.63,-0.55,-0.15,-0.87,-1.2,-2.6,-0.5,-5
0.1200,44882.4041565162,30,-0.34,-0.15,-0.54,-0.53,-0.16,-0.87,-2.0,-2.9,-0.8,-5
0.1240,44882.4041565625,31,-0.49,-0.15,-0.54,-0.54,-0.15,-0.85,-2.1,-2.9,-0.1,-5
0.1280,44882.4041566088,32,-0.49,-0.24,-0.59,-0.54,-0.16,-0.85,-2.1,-2.6,0.0,-5
0.1320,44882.4041566551,33,-0.54,-0.20,-0.59,-0.54,-0.16,-0.84,-3.3,-3.2,0.9,-5
0.1360,44882.4041567014,34,-0.44,-0.20,-0.54,-0.54,-0.15,-0.84,-3.3,-2.2,0.9,-5
