' Device: 0018; Hardware: v03.07.02; Firmware: v03.07.02; Ain: 3.300V F.S. x1 Gain
' Test ID: 0
' Run Started: 18/02(Feb)/2014 08:12:20
' Scan Freq (Hz): 250
' Log Time (sec): 30; Delay Time (sec): 10; Clock Adj.: 1.000000
' 
' Time,DateTime,Scan,Trigger,Trigger,GPIO1,GPIO1,X1-X,X1-Y,X1-Z,X2-X,X2-Y,X2-Z,G2-X,G2-Y,G2-Z,Ain
' (Sec),(Serial),Number,(State),(Edge),(State),(Edge),(g),(g),(g),(g),(g),(g),(°/sec),(°/sec),(°/sec),(ADc)
0.0040,41688.3420140509,1,0,0,0,0,0.00,0.05,-0.78,0.04,-0.02,-1.01,-0.2,-2.4,-1.1,-37
0.0080,41688.3420140972,2,0,0,0,0,0.00,-0.05,-0.83,0.04,-0.02,-1.01,0.2,-2.0,-0.3,-36
0.0120,41688.3420141435,3,0,0,0,0,0.10,0.00,-0.88,0.05,-0.02,-1.00,0.3,-2.4,-0.8,-13
0.0160,41688.3420141898,4,0,0,0,0,0.05,0.05,-0.83,0.05,-0.02,-1.02,-0.6,-2.0,-0.7,-16
0.0200,41688.3420142361,5,0,0,0,0,0.00,0.00,-0.83,0.05,-0.02,-1.01,0.1,-1.9,-1.1,-35
0.0240,41688.3420142824,6,0,0,0,0,0.05,0.00,-0.78,0.05,-0.02,-1.01,0.8,-1.8,-0.6,-34
0.0280,41688.3420143287,7,0,0,0,0,0.05,-0.05,-0.88,0.05,-0.02,-1.01,-0.5,-1.6,-0.5,-8
0.0320,41688.342014375,8,0,0,0,0,0.05,0.00,-0.78,0.05,-0.02,-1.01,0.4,-2.1,-0.7,-1
0.0360,41688.3420144213,9,0,0,0,0,0.05,0.10,-0.83,0.04,-0.02,-0.99,-0.2,-2.1,-0.9,-33
0.0400,41688.3420144676,10,0,0,0,0,0.15,-0.05,-0.83,0.04,-0.02,-1.01,0.5,-1.8,-0.7,-32
0.0440,41688.3420145139,11,0,0,0,0,0.05,-0.05,-0.83,0.04,-0.02,-1.01,-0.4,-1.9,-1.1,-19
0.0480,41688.3420145602,12,0,0,0,0,0.00,-0.05,-0.83,0.04,-0.02,-1.01,0.2,-2.3,-0.4,-1
0.0520,41688.3420146065,13,0,0,0,0,0.10,0.00,-0.78,0.04,-0.01,-1.01,0.3,-1.8,-0.3,-31
0.0560,41688.3420146528,14,0,0,0,0,0.05,-0.05,-0.88,0.04,-0.02,-1.01,0.5,-1.9,-0.8,-30
0.0600,41688.3420146991,15,0,0,0,0,0.00,0.00,-0.88,0.04,-0.01,-1.01,0.1,-1.5,-0.3,-30
0.0640,41688.3420147454,16,0,0,0,0,0.05,-0.10,-0.78,0.05,-0.02,-1.01,0.6,-2.2,-0.4,-1
0.0680,41688.3420147917,17,0,0,0,0,0.00,0.05,-0.73,0.04,-0.02,-1.01,0.4,-2.5,-0.6,-29
0.0720,41688.342014838,18,0,0,0,0,0.10,0.05,-0.78,0.04,-0.02,-1.01,0.1,-1.5,-0.4,-29
0.0760,41688.3420148842,19,0,0,0,0,0.15,-0.05,-0.83,0.05,-0.01,-1.00,-0.4,-2.0,-0.5,-28
0.0800,41688.3420149305,20,0,0,0,0,0.05,-0.05,-0.78,0.05,-0.01,-1.01,-0.6,-1.9,-0.3,-3
0.0840,41688.3420149768,21,0,0,0,0,0.05,-0.05,-0.78,0.05,-0.01,-1.01,0.3,-2.3,-0.9,-28
0.0880,41688.3420150231,22,0,0,0,0,0.05,0.05,-0.83,0.04,-0.02,-1.01,-0.4,-2.4,-0.9,-27
0.0920,41688.3420150694,23,0,0,0,0,0.00,-0.05,-0.83,0.04,-0.02,-1.01,-0.4,-1.4,-0.9,-26
0.0960,41688.3420151157,24,0,0,0,0,0.00,0.00,-0.88,0.04,-0.02,-1.00,-0.1,-1.6,-0.8,-3
0.1000,41688.342015162,25,0,0,0,0,0.10,0.00,-0.83,0.05,-0.01,-1.00,0.0,-1.8,-0.1,-14
0.1040,41688.3420152083,26,0,0,0,0,0.00,-0.05,-0.78,0.05,0.00,-1.01,-0.4,-2.5,-0.2,-26
0.1080,41688.3420152546,27,0,0,0,0,0.00,-0.05,-0.88,0.05,-0.01,-1.01,0.1,-2.0,-1.0,-25
0.1120,41688.3420153009,28,0,0,0,0,0.05,-0.05,-0.88,0.05,-0.01,-1.01,0.3,-2.0,-0.6,-3
0.1160,41688.3420153472,29,0,0,0,0,0.05,0.00,-0.83,0.04,-0.02,-1.00,-0.2,-1.7,-1.1,-6
0.1200,41688.3420153935,30,0,0,0,0,0.05,0.00,-0.73,0.05,-0.01,-1.00,0.3,-2.2,-0.5,-24
0.1240,41688.3420154398,31,0,0,0,0,0.00,-0.05,-0.83,0.04,-0.01,-1.00,0.5,-1.2,-0.6,-23
0.1280,41688.3420154861,32,0,0,0,0,0.05,0.00,-0.78,0.05,-0.01,-1.00,0.1,-1.9,-0.6,-10
0.1320,41688.3420155324,33,0,0,0,0,0.00,0.00,-0.78,0.05,0.00,-1.01,-0.4,-1.8,-0.6,0
